,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External
0,1,-10.0,0.0,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
1,1,-10.0,0.00015,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
2,1,-10.0,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
3,1,-10.0,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
4,1,-10.0,0.0006,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
5,1,-10.0,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
6,1,-10.0,0.0009,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
7,1,-10.0,0.00105,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
8,1,-10.0,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
9,1,-10.0,0.0013499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
10,1,-10.0,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
11,1,-10.0,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
12,1,-10.0,0.0018,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
13,1,-10.0,0.00195,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
14,1,-10.0,0.0021,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
15,1,-9.292857142857143,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
16,1,-9.292857142857143,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
17,1,-9.292857142857143,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
18,1,-9.292857142857143,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
19,1,-9.292857142857143,0.0006,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
20,1,-9.292857142857143,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
21,1,-9.292857142857143,0.0009,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
22,1,-9.292857142857143,0.00105,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
23,1,-9.292857142857143,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
24,1,-9.292857142857143,0.0013499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
25,1,-9.292857142857143,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
26,1,-9.292857142857143,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
27,1,-9.292857142857143,0.0018,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
28,1,-9.292857142857143,0.00195,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
29,1,-9.292857142857143,0.0021,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
30,1,-8.585714285714285,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
31,1,-8.585714285714285,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
32,1,-8.585714285714285,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
33,1,-8.585714285714285,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
34,1,-8.585714285714285,0.0006,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
35,1,-8.585714285714285,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
36,1,-8.585714285714285,0.0009,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
37,1,-8.585714285714285,0.00105,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
38,1,-8.585714285714285,0.0012,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
39,1,-8.585714285714285,0.0013499999999999999,3.716196100218174,442.563798823813,1.3586292549329798e-14,1.0,4.326605227279193,451.78777810358946,1.3521071133947993e-14,1.0
40,1,-8.585714285714285,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
41,1,-8.585714285714285,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
