;1;2;3;4;5;6;7;8;9;10
-4;-2.397;-3.115;-3.754;-4.361;-4.943;-5.506;-6.048;-6.566;-7.056;-7.514
-3.666666667;-2.402;-3.126;-3.772;-4.388;-4.982;-5.558;-6.116;-6.651;-7.158;-7.632
-3.333333333;-2.392;-3.109;-3.748;-4.355;-4.941;-5.509;-6.06;-6.588;-7.089;-7.56
-3;-2.366;-3.061;-3.676;-4.255;-4.81;-5.346;-5.862;-6.356;-6.823;-7.261
-2.666666667;-2.324;-2.985;-3.558;-4.09;-4.593;-5.071;-5.527;-5.958;-6.364;-6.741
-2.333333333;-2.268;-2.882;-3.401;-3.871;-4.304;-4.708;-5.085;-5.436;-5.761;-6.058
-2;-2.203;-2.763;-3.22;-3.62;-3.976;-4.298;-4.591;-4.857;-5.097;-5.311
-1.666666667;-2.136;-2.641;-3.037;-3.369;-3.654;-3.901;-4.118;-4.308;-4.474;-4.618
-1.333333333;-2.075;-2.534;-2.878;-3.156;-3.384;-3.574;-3.735;-3.87;-3.983;-4.078
-1;-2.027;-2.453;-2.763;-3.005;-3.196;-3.351;-3.477;-3.579;-3.663;-3.729
