;1;2;3;4;5;6;7;8;9;10
-4;-4.653;-5.702;-6.531;-7.228;-7.812;-8.301;-8.703;-9.024;-9.267;-9.443
-3.667;-5.209;-6.218;-7.033;-7.723;-8.303;-8.788;-9.186;-9.502;-9.743;-9.918
-3.333;-5.25;-6.185;-6.952;-7.607;-8.159;-8.623;-9.007;-9.318;-9.561;-9.744
-3;-4.827;-5.659;-6.348;-6.938;-7.438;-7.861;-8.216;-8.51;-8.749;-8.94
-2.667;-4.137;-4.854;-5.447;-5.955;-6.387;-6.755;-7.069;-7.335;-7.559;-7.747
-2.333;-3.376;-3.974;-4.468;-4.89;-5.248;-5.555;-5.82;-6.049;-6.245;-6.415
-2;-2.663;-3.144;-3.54;-3.876;-4.162;-4.407;-4.618;-4.8;-4.958;-5.095
-1.667;-2.046;-2.412;-2.714;-2.969;-3.184;-3.366;-3.523;-3.657;-3.771;-3.867
-1.333;-1.536;-1.792;-2.005;-2.184;-2.334;-2.459;-2.565;-2.653;-2.727;-2.787
-1;-1.132;-1.293;-1.428;-1.542;-1.636;-1.713;-1.777;-1.829;-1.87;-1.903
