,1,2,3,4,5,6,7,8,9,10
1.0,0.017,0.005,-0.005,-0.012,-0.017,-0.022,-0.025,-0.027,-0.029,-0.03
1.3333333333333333,0.021,0.009,0.0,-0.006,-0.012,-0.016,-0.019,-0.021,-0.022,-0.023
1.6666666666666665,0.025,0.013,0.004,-0.003,-0.008,-0.012,-0.015,-0.017,-0.019,-0.02
2.0,0.029,0.016,0.007,0.0,-0.005,-0.009,-0.012,-0.015,-0.016,-0.018
2.333333333333333,0.034,0.021,0.011,0.004,-0.002,-0.006,-0.01,-0.012,-0.014,-0.016
2.6666666666666665,0.039,0.025,0.015,0.008,0.002,-0.003,-0.007,-0.009,-0.012,-0.013
3.0,0.044,0.03,0.019,0.012,0.005,0.0,-0.003,-0.006,-0.009,-0.011
3.333333333333333,0.05,0.035,0.024,0.016,0.009,0.004,-0.0,-0.003,-0.006,-0.008
3.6666666666666665,0.055,0.039,0.028,0.02,0.013,0.008,0.003,-0.0,-0.003,-0.005
4.0,0.06,0.044,0.032,0.024,0.017,0.011,0.006,0.003,-0.0,-0.002
