;1;2;3;4;5;6;7;8;9;10
-4;-2.543;-3.807;-5.067;-6.33;-7.576;-8.788;-9.943;-11.023;-12.011;-12.896
-3.667;-2.56;-3.84;-5.124;-6.417;-7.703;-8.96;-10.167;-11.303;-12.348;-13.289
-3.333;-2.513;-3.77;-5.033;-6.308;-7.578;-8.822;-10.019;-11.148;-12.191;-13.135
-3;-2.392;-3.584;-4.777;-5.976;-7.164;-8.324;-9.436;-10.482;-11.446;-12.318
-2.667;-2.193;-3.275;-4.348;-5.414;-6.459;-7.466;-8.422;-9.311;-10.124;-10.854
-2.333;-1.914;-2.846;-3.756;-4.644;-5.498;-6.306;-7.059;-7.747;-8.365;-8.912
-2;-1.565;-2.317;-3.035;-3.721;-4.364;-4.958;-5.498;-5.98;-6.403;-6.77
-1.667;-1.172;-1.73;-2.25;-2.735;-3.177;-3.576;-3.928;-4.235;-4.499;-4.722
-1.333;-0.78;-1.155;-1.496;-1.806;-2.082;-2.326;-2.537;-2.717;-2.868;-2.994
-1;-0.45;-0.674;-0.874;-1.053;-1.209;-1.344;-1.46;-1.557;-1.638;-1.705
