,1,2,3,4,5,6,7,8,9,10
-4.0,-4.0,-4.579,-5.036,-5.426,-5.763,-6.06,-6.321,-6.551,-6.752,-6.925
-3.667,-4.183,-4.754,-5.21,-5.601,-5.941,-6.24,-6.505,-6.739,-6.944,-7.125
-3.333,-4.145,-4.695,-5.137,-5.516,-5.846,-6.138,-6.398,-6.63,-6.837,-7.022
-3.0,-3.913,-4.431,-4.845,-5.199,-5.505,-5.777,-6.021,-6.242,-6.442,-6.624
-2.667,-3.569,-4.051,-4.428,-4.746,-5.019,-5.262,-5.48,-5.679,-5.861,-6.029
-2.333,-3.196,-3.639,-3.976,-4.255,-4.49,-4.696,-4.88,-5.048,-5.202,-5.344
-2.0,-2.848,-3.254,-3.55,-3.787,-3.982,-4.148,-4.295,-4.426,-4.544,-4.65
-1.667,-2.552,-2.923,-3.181,-3.378,-3.533,-3.66,-3.768,-3.861,-3.942,-4.011
-1.333,-2.322,-2.661,-2.885,-3.047,-3.167,-3.26,-3.334,-3.395,-3.443,-3.483
-1.0,-2.16,-2.473,-2.669,-2.804,-2.898,-2.965,-3.014,-3.051,-3.078,-3.097
